Frase,Intensidade
fod,2
bom pra caralh,2
vou ness porr,2
gost nao fodas,2
cu preg,2
arromb,2
fod,2
resolv log porr,2
rob filh put,2
ze bucet,2
rod ai pra caralh,2
ta fud,2
enfi canud cu,2
cu lat,2
piroc dur,2
fic firm porr,2
porr,2
porr,2
caralh,2
nao poss faz porr,2
gent quas fud,2
quas morr,1
clar porr,2
tav control fud,2
olh pra porr mao,2
olh pra merd,2
talv mereç morr,1
caralh talig,2
ench sac,1
filh put,2
pe sac,2
bund,1
anu,1
sao porr,1
velh petelh,1
put merd,2
paus anu,1
porr,2
put merd,2
merd,2
tosc,1
noj,1
cag are,1
peidorr,1
bund,1
sex anal,2
fih put,2
nao coloc nad tras,2
caralh,2
put par,2
porr,2
cacet,2
sex,1
voc bund tao lind,2
padr enfi cu,2
fodas,2
put retard,2
filh put,2
to fic put,2
vou ayd,2
desgr,1
mon bund,1
bundo,1
mat kenny,1
fac bund,2
filh put,2
nao just porr,2
filh put,2
coc,1
sei peid,1
porr zumb,2
filh put,2
put,2
porr,1
merd,2
vai fod,2
cag mao,2
porr,2
ta put comig,2
porqu ta fing merd,2
caralh,2
bost,2
to etend porr nenhum,2
nao graç porr,2
vai fod cai,2
porr,2
filh put,2
peid tempor,1
porr,2
cu,1
ai caramb,1
put merd,2
put merd,2
dan,1
par merd,2
vam faz denov,1
volt pra trans,2
put,2
merd,2
caralh,2
drog,2
agres sex,1
vici drog,1
prostitut,1
ai caramb,1
cag varand,2
filh put,2
cort porr,2
so assim relax caralh,2
ouv merd,2
putz grill,1
vacil,1
bich,2
molequ,1
merd,2
agor voc morr,2
agor fud,2
ahdrog,1
pirralh caralh,2
ahmerd,2
cus,2
porr,2
merd,2
porr,2
drog,1
infern,1
bost,2
desgraç,1
fod,2
bund,1
merd,1
criol,1
crioll,1
put,2
cacet,2
porr,1
pau,2
capet,1
bucet,2
fud,2
trep,2
fed,1
diab,2
dan,1
rabet,1
petenlh,2
sex,1
masturb,2
porr,2
demôni,2
próstat,1
pênil,2
gual,0
igual,0
dividir jeito gostar ir passear tentar espirrar,0
visitar animal ir falar,0
fazer Arcoíris,0
comprar barato brincar dedo,0
nadar afinco estrela mar ir dançar,0
bloco bloco,0
fazer   bloco,0
chão quadrados,0
incrível,0
lua estar,0
lever pra casa,0
brincar,0
mostramos george pintura,0
george hoje ir ensinar pintar flor tá,0
poder ensinar pintar dinossauro,0
pintar círculo,0
pinte pétala flor,0
pinte folha,0
george pintar ajudar,0
peppa esconder,0
peppa esconder,0
George achar peppa escondido,0
peppa escondida mesa,0
dinossauro brinquedo,0
George vir,0
george formato,0
amarelo misturar azul ficar verde,0
abraço azul amarelo nascer verde,0
vermelho amarelo vira laranja,0
amarelo azul vira verde,0
azul vermelho vira roxo,0
ah pequeno pigmento encontrar nascer verde,0
olhar pertinho entender pequeno pigmento,0
ei amarelo azul abraço gente mistura bonito nascer verde ver,0
ei amarelo vermelho beijinho canja gente mistura bonito segredo nascer laranja,0
ei azul vermelho abraço queijo gente mistura bonito nascer roxo encho beijo,0
quintal,0
sol verde tá parecer alien,0
hora tinta amarela pegar tinta verde,0
ideia,0
ninguém chamar vir,0
mariana lápis ganhar quanto lápis ter,0
jardim haver borboleta chegar borboleta pequeno quanto borboleta,0
sítio vovô haver pintinho nascer quanto pintinho sítio,0
cachorrinho ter osso ganhar quanto osso,0
lua comprar bala voltar comprar quanta bala lua,0
matheu ganhar livro presente vovó mamãe quanto livro matheu ganhar,0
semana passado ganhar estrelinha mural rotina semana ganhar quanto estrela,0
pote biscoito ter biscoito coloquei quanto biscoito pote,0
vídeo hoje aprender conta adição,0
vídeo hoje ir precisar ajuda resolver probleminha matemática,0
borboleta,0
pintinhos sítio,0
cachorrinho osso,0
lua bala,0
nuvem frente sol,0
haver avião aeroporto de ele decolar quanto avião ficar,0
guto ter bala comeu de ele quanto bala sobrar,0
ana ganhar balão de ele estourar quanto balão ficar,0
ana amiga parque de elas quanto amiga ficar ana,0
Pedro ter lápis estojo perder de ele quanto lápis restar,0
macieira ter maçãs cair de ele quanta maçãs ficar árvore,0
júlia ter real gastar real mercado quanto real sobrarar,0
coelho ter cenoura comeu de elas quanto cenouro sobrarar,0
vídeo hoje ir resolver probleminha subtração continha,0
sobrarar cenoura,0
Pedro ficar lápis,0
maçãs ficar árvore,0
sobrarar real júlia,0
olá amiguinho,0
entender funcionar,0
multiplicar ficar,0
multiplicar ficar,0
tabuar,0
tabuar,0
tabuar,0
tabuar,0
hoje aprender tabuada,0
ir último,0
truquezinho shorts,0
amiguinho,0
contar gostar videozinho hoje,0
avião árvore astronauta letra,0
l leão luva livro,0
m macaco menino milho,0
n navio ninho never,0
ovo ovelha ônibus,0
ir aprender letrinha alfabeto palavra começar de ele,0
letrinha letra,0
letrinha letra b letra b,0
letrinha letra c c gente,0
vídeo hoje aprender   letra alfabeto várias coisa começar letrinha,0
pato pedra pipocar,0
vaca vela violão,0
Waffle Wifi wafer,0
youtube yakisoba yoga letra y,0
zebrar zumbi letra z,0
casa s,0
luz z,0
Rosa s,0
juiz z,0
pena letra n,0
palavra s z,0
palavrinha x ch,0
palavra m n,0
vídeo hoje aprender várias palavrinha escrever de ele,0
palavrinha chave,0
chocolate delícer,0
palavrinha xícar,0
palavrinha chuva,0
ir bloco,0
amiguinho,0
pentágono nome dar figura geométrico possuir   lado,0
humus matéria orgânica depositar solo resultar decomposição animal planta morto subproduto,0
combustível fóssil petróleo carvão mineral gás natural chamar fato derivar planta vegetal morto soterrar sólido formar rocha sedimentar,0
energia eólico energia renovável gerar força vento,0
clorofila pigmento responsável cor encontrar interior cloroplasto abundante planta presente principalmente folha,0
quiz conhecimento geral   pergunta ensino fundamental,0
vídeo promover conhecimento deixar like inscrevase canal,0
souber resposta compartilho comentário,0
quiz conhecimento geral pergunta ensino fundamental,0
vídeo promover conhecimento deixar like inscrevase canal,0
terra água,0
gelo,0
água,0
terra,0
mágico oz,0
