FRASE;TOX
"""Fica ai fora""";Leve
"""Esse pato espantalho""";Leve
"""Maluco da cabeça""";Moderado
"""Tenho que me livra de você""";Moderado
"""seu bostinha""";Severo
"""sua garota cuzona""";Severo
"""cala a boca""";Moderado
"""bestinha""";Leve
"""Na sua cara""";Leve
"""seu idiota""";Moderado
"""Vingativo""";Leve
"""Qual seu problema?""";Moderado
"""Cala você""";Moderado
"""Cala a boca""";Moderado
"""A merda dos seus pais""";Severo
"""Voces merecem""";Leve
"""Fico feliz que machuca""";Severo
"""Você nao facilita""";Severo
"""Imbecil""";Severo
"""voce nao seja um burro de merda""";Severo
"""isso nao e legal""";Moderado
"""cuzão""";Severo
"""cara de bunda rachada""";Severo
"""nao tivesse sido incopetente""";Leve
"""eu vou matar o riky""";Severo
"""voce e cruel""";Leve
"""sua familia invergunhada""";Leve
"""eu sinto pena de voce""";Moderado
"""voce vai morrer""";Severo
"""voce e um grande cuzão""";Severo
"""rlx o cu ai""";Severo
"""sua batata tá açando""";Moderado
"""viva o resto do dia em negação""";Leve
"""voce esta sendo cruel""";Leve
"""tchau fracassado""";Moderado
"""suas mentes fracas""";Leve
"""burnes nao presta""";Leve
"""todos odeiam burnes""";Severo
"""isso pode fazer mau""";Leve
"""cai fora smitter""";Moderado
"""vou te da um soco""";Moderado
"""aquele mão de vaca""";Moderado
"""que demonio fajuto""";Moderado
"""esse garoto tem alma mais obscura que ja vi""";Moderado
"""seu ze ruela""";Moderado
"""seu muleque""";Moderado
"""de outro mundo""";Leve
"""voce matou meu marido""";Severo
"""Voce vai ver""";Leve
"""nao faz nada""";Leve
"""voce e inutil""";Moderado
"""so serve como peso de papel""";Moderado
"""vou pisar em voce""";Severo
"""voce e muito mao de vaca""";Moderado
"""perdedor""";Moderado
"""porcaria de carro""";Moderado
"""inutil""";Moderado
"""nao sabe fazer nada""";Leve
"""voce nao sabia nada""";Leve
"""vai impestiar a casa""";Leve
"""maldita gata""";Moderado
"""nao faz nada""";Leve
"""perdedor""";Leve
"""filho que vive so""";Leve
"""idiota""";Severo
"""maldita""";Moderado
"""cala a boca""";Moderado
"""aqueles idiotas""";Moderado
"""que se dane""";Severo
"""sua arvore maldita""";Moderado
"""essa e a píor coisa que ele ja fez""";Leve
"""esse caipira""";Leve
"""a festa acabo seu caipira""";Leve
"""cai fora""";Moderado
"""volta aqui seu maldito""";Moderado
"""cala boca""";Moderado
"""abestado""";Leve
"""linguarudo""";Leve
"""voce e esquesito""";Moderado
"""o neguinho""";Severo
"""leva um pe na boca""";Moderado
"""seu doente""";Moderado
"""canalha""";Moderado
"""o doido""";Moderado
"""vai penetrar ele""";Severo
"""sai pra la""";Moderado
"""assasino""";Moderado
"""tu nao tem pai nem mae""";Severo
"""que isso maluco""";Moderado
"""faz isso nao""";Leve
"""vai pro mijo""";Moderado
"""se paparica ele demais""";Leve
"""fico assustado?""";Leve
"""vai pra jesus""";Leve
"""voce nao sabe do que esta falando""";Leve
"""bunda gorda""";Moderado
"""puta magrela""";Severo
"""um idiota com microfone""";Moderado
"""sua vadia""";Severo
"""sua puta""";Severo
"""maldita""";Moderado
"""vadia""";Severo
"""que coisas ridiculas""";Leve
"""que vadia""";Severo
"""babaca""";Moderado
"""voce e uma puta""";Severo
"""vai se foder""";Severo
"""seu corno""";Severo
"""ir se foder""";Severo
"""um pe rapado""";Leve
"""otario""";Moderado
"""quem e essa macaco""";Moderado
"""vou arrancar suas bola""";Severo
"""seu biperd de merda""";Severo
"""macaco bobaõ""";Severo
"""niguem liga""";Moderado
"""cuidem das saus proprias merdas""";Severo
"""bostinha""";Severo
"""eu te dou uma muqueta""";Moderado
"""e maluco""";Moderado
"""babão""";Leve
"""voce ta me agredindo""";Moderado
"""vou te derruba agora""";Leve
"""eu te dou uma muqueta""";Moderado
"""e o cara mais egoista do planeta""";Moderado
"""duvido que alguem pense isso de voce""";Moderado
"""bichinho de pelucia""";Moderado
"""eu odeio essa regra""";Moderado
"""seu velho gordo""";Severo
"""idiota""";Severo
"""ignorante""";Leve
"""era uma prostituta""";Severo
"""seu moribundo""";Moderado
"""idiota""";Moderado
"""vai queima no inferno""";Severo
"""voce ainda vai morrer""";Severo
"""esse medico e um idiota""";Moderado
"""voces esta sendo egoista""";Moderado
"""seu nojento de uma figa""";Severo
"""cala a boca""";Moderado
"""ta calor idiota""";Severo
"""esse conto de fada imbecil""";Severo
"""tena nao ser ignorante""";Leve
"""teimoso""";Moderado
"""imbecil""";Severo
"""voce ta errada""";Leve
"""passaros bobão""";Leve
"""cala a boca""";Moderado
"""vai se ferrar""";Severo
"""babaquice""";Moderado
"""essa sua cara estupida""";Severo
"""nao tomo seus remedios""";Moderado
"""vai se ferrar""";Severo
"""essa bosta de conta de luz""";Severo
"""ainda vou me vinga de voce""";Moderado
"""voce ta fedendo""";Leve
"""ela e uma bosta de pesadelho""";Severo
"""alguem vai pagar por isso""";Moderado
"""ela não e tão chata quanto parece""";Moderado
"""que se dane isso""";Moderado
"""voce que me forço a isso""";Moderado
"""mama udisinho""";Severo
"""seu filho da mãe""";Moderado
"""sem vergonha""";Moderado
"""voce e a mulher da diarreia""";Moderado
"""voce e a maluca""";Moderado
"""eu acho que ela e maluca""";Moderado
"""esses branquelos""";Moderado
"""que se dane""";Moderado
"""seus malditos garotos""";Severo
"""cruza seu lombo""";Severo
"""a cone e tão feia""";Moderado
"""esses otarios""";Moderado
"""os trailers do caipira""";Moderado
"""que mulherzinha""";Moderado
"""uma baranga feito voce""";Severo
"""eu cozinho voce""";Moderado
"""velho piranta""";Moderado
"""cala essa boca""";Moderado
"""bigodudo""";Leve
"""essa sua babaquice""";Moderado
"""vagabundo""";Severo
"""a se eu te pego""";Leve
"""esse olhar de peixe mordo""";Leve
"""imunda""";Moderado
"""idiota""";Severo
"""e idiota""";Moderado
"""otarios""";Moderado
"""seu explorador pastel""";Moderado
"""seus idiotas""";Moderado
"""imundos""";Moderado
"""essa droga""";Severo
"""aquele idiota na estaca""";Moderado
"""desgraçado""";Severo
"""essas pessoas sao monstros""";Moderado
"""sua vadia""";Severo
"""louca""";Moderado
"""seus doentes""";Leve
"""otarios""";Moderado
"""imbecil""";Moderado
"""arrebento tua cabeça""";Severo
"""cala boca""";Moderado
"""muleque safado""";Moderado
"""seu estuprador""";Severo
"""voce e estupido""";Moderado
"""seu pervetido""";Moderado
"""dois crakudinhos""";Severo
"""ze ruela""";Moderado
"""chupa essa manga""";Severo
"""balofa""";Severo
"""minha bolota""";Leve
"""muita boiolagem""";Severo
"""eu espero que o matem""";Severo
"""essa motoclistas loucos""";Moderado
"""vamos acaba com eles""";Moderado
"""cala a boca""";Moderado
"""nao se meta na minha vida""";Severo
"""e ta todo mundo louco""";Moderado
"""venho no lugar errado""";Leve
"""tu ta com a maior catinga""";Leve
"""playboi""";Leve
"""voce e horrivel""";Moderado
"""isso e loucura""";Moderado
"""voce e despresivel""";Severo
"""babaca""";Moderado
"""eu odeio voces""";Severo
"""isso foi horrivel""";Leve
"""para com isso""";Leve
"""voce e sozinha""";Leve
"""Eu nao ligo pro que voce pensa""";Leve
"""seu bosta""";Severo
"""gay bufalo""";Severo
"""pais otarios""";Severo
"""esses pirralhos""";Leve
"""imbecis""";Moderado
"""garoto esquisito""";Moderado
"""nao gostamos de voce""";Moderado
"""nao enche meu saco""";Moderado
"""gordinhos""";Leve
"""queimem pessoas""";Severo
"""os esquisitinhos dos esteve""";Moderado
"""voce e o pior conselheiro""";Moderado
"""esse pirralho""";Leve
"""metido a besta""";Leve
