FRASE;Intensidade
"""Usar sua bunda como chapeu""";Severa
"""linxamento""";Leve
"""pra fude com a gente""";Severa
"""cacete""";Leve
"""Cade a merda""";Severa
"""filhos da puta""";Severa
"""Bosta quente""";Severa
"""Filho da puta""";Severa
"""merda""";Severa
"""Cacete""";Leve
"""pirralho de merda""";Severa
"""Bostinha""";Severa
"""So faz merda""";Severa
"""Porra""";Severa
"""Se fude""";Severa
"""Se matar""";Leve
"""todo mundo vende porcaria""";Leve
"""quando bate uma larica""";Leve
"""mata larica""";Leve
"""vendam as drogas""";Leve
"""me engravida agora""";Leve
"""vida sexual""";Severa
"""podem fazer em qualquer lugar""";Severa
"""vagabundos""";Leve
"""vendedora de droga""";Leve
"""ah caramba""";Leve
"""caraca""";Leve
"""eca""";Leve
"""uma safada""";Leve
"""ah droga""";Leve
"""enche meu saco""";Severa
"""puta merda""";Severa
"""puta""";Severa
"""merda""";Severa
"""alguem precisa da umasinha""";Severa
"""ficam de pau duro""";Severa
"""foda-se""";Severa
"""me chupa""";Severa
"""seu merdinha""";Severa
"""mostra o dedo do meio""";Severa
"""fodase""";Severa
"""me chupa""";Severa
"""vou te ferrar""";Severa
"""chupa que e de uva""";Leve
"""porra""";Severa
"""porra""";Severa
"""que merda em""";Severa
"""quando seu pai comeu sua mae""";Severa
"""ai,caramba""";Leve
"""que porra são voces""";Severa
"""transam gostoso""";Severa
"""brawnie de maconha""";Leve
"""bundão""";Leve
"""ta uma merda""";Severa
"""culhoes""";Leve
"""essa merda""";Severa
"""conseguiu bundão""";Leve
"""seu gordo de merda""";Severa
"""peida bem forte""";Leve
"""caramba""";Leve
"""quanta merda""";Severa
"""se ta na seca mesmo""";Severa
"""isso e pra morrer """;Severa
"""e voce pra se masturbar""";Severa
"""masturba molda meu carcter""";Severa
"""para de punhetar""";Severa
"pe no saco""";Leve
"""ovo molado""";Severa
"""deixa eu olha meu ovo""";Severa
"""olha que ovao arretado""";Severa
"""chupa uma cara""";Leve
"""caga um ovo""";Severa
"""morrer""";Leve
"""gloria ao gozo""";Severa
"""essa merda""";Severa
"""rico cuzoes""";Severa
"""rico cuzoes""";Severa
"""de que porra voce ta falando""";Severa
"""cacete""";Severa
"""puta""";Severa
"""que merda""";Severa
"""do caralho""";Severa
"""voce acha que eu sou gotosa""";Leve
"""eu nao sou gostosa""";Leve
"""os peitões de stripper""";Leve
"""o filha da puta""";Severa
"""o cara da vagina""";Leve
"""isso e merda""";Severa
"""as moças abaixam as calcinhas""";Severa
"""ja pensei em ter uma vagina""";Leve
"""puta merda""";Severa
"""a porra do meu irmao""";Severa
"""chupa meu saco""";Severa
"""consolo""";Severa
"""porra""";Severa
"""do cacete""";Severa
"""a porra do bebe""";Severa
"""que porra e essa""";Severa
"""que porra""";Severa
"""sonda anal""";Severa
"""medico expecializado cu""";Severa
"""cu dos outros""";Severa
"""caralho""";Severa
"""meu saco""";Severa
"""tem uma fenda no meio da sua bunda""";Leve
"""merda""";Severa
"""estou super excitado""";Severa
"""caralho""";Severa
"""caralho""";Severa
"""merda""";Severa
"""merda""";Severa
"""que diabos""";Severa
"""merda""";Severa
"""foda-se""";Severa
"""seu cuzão""";Severa
"""chupador de caralho""";Severa
"""cuzão""";Severa
"""chupador de caralho""";Severa
"""eu te ferrei""";Severa
"""ho, merda""";Severa
"""foda """;Severa
"""bom pra caralho""";Severa
"""vou nessa, porra""";Severa
"""gosto nao foda-se""";Severa
"""cu sem prega""";Severa
"""arrombado""";Severa
"""e foda""";Severa
"""resolver logo essa porra""";Severa
"""aquele robo filha da puta""";Severa
"""ze buceta""";Severa
"""rodei ai pra caralho""";Severa
"""tu ta fudido""";Severa
"""enfio canudo no teu cu""";Severa
"""aquele cu de lata""";Severa
"""minha piroca dura""";Severa
"""fica firme porra""";Severa
"""porra""";Severa
"""que porra """;Severa
"""caralho""";Severa
"""eu nao posso fazer essa porra""";Severa
"""a gente quase se fudeu""";Severa
"""quase morremos""";Leve
"""claro porra""";Severa
"""eu não tava no controle nem fudendo""";Severa
"""olha pra porra da minha mao""";Severa
"""olha pra essa merda""";Severa
"""talvez eu mereça morrer""";Leve
"""caralho taligado""";Severa
"""enche meu saco""";Leve
"""filho da puta""";Severa
"""pe no saco""";Severa
"""bunda""";Leve
"""anus""";Leve
"""sao um porre""";Leve
"""velho petelho""";Leve
"""puta merda""";Severa
"""que que pause o anus""";Leve
"""porra""";Severa
"""puta merda""";Severa
"""mais que merda""";Severa
"""que tosco""";Leve
"""que nojeira""";Leve
"""quem cago na areia""";Leve
"""peidorreiro""";Leve
"""pela bunda""";Leve
"""sexo anal""";Severa
"""aquele fiho da puta""";Severa
"""nao coloco nada no traseiro?""";Severa
"""caralho""";Severa
"""puta que pariu""";Severa
"""porra""";Severa
"""e do cacete""";Severa
"""sexo""";Leve
"""voce te uma bunda tao linda""";Severa
"""o que um padre enfiaria no meu cu""";Severa
"""fodase""";Severa
"""puta de um retardado""";Severa
"""filha da puta""";Severa
"""to ficando muito puto""";Severa
"""vou te da ayds""";Severa
"""desgraça""";Leve
"""mono bunda""";Leve
"""bundoes""";Leve
"""mataram kenny""";Leve
"""tem uma faca na minha bunda""";Severa
"""seus filhos a puta""";Severa
"""isso nao e justo porra""";Severa
"""filhos da puta""";Severa
"""cocozinho""";Leve
"""sei que peidamos""";Leve
"""a porra do zumbi""";Severa
"""filhos da puta""";Severa
"""puta""";Severa
"""porrada""";Leve
"""a merda""";Severa
"""vai se foder""";Severa
"""cago na mao e""";Severa
"""para com essa porra""";Severa
"""por que se ta puto comigo""";Severa
"""porque ele ta fingido essa merda""";Severa
"""caralho""";Severa
"""seu bosta""";Severa
"""não to etendo porra nenhuma""";Severa
"""isso nao tem graça porra""";Severa
"""vai se foder, caio""";Severa
"""mais que porra""";Severa
"""filho da puta""";Severa
"""peido temporal""";Leve
"""mais que porra""";Severa
"""que cu""";Leve
"""ai caramba""";Leve
"""puta merda""";Severa
"""puta merda""";Severa
"""que se dane""";Leve
"""pare com essa merda""";Severa
"""vamo fazer denovo""";Leve
"""volto pra transar""";Severa
"""puta""";Severa
"""merda""";Severa
"""caralho""";Severa
"""droga""";Severa
"""agressor sexual""";Leve
"""viciado em drogas""";Leve
"""prostitutas""";Leve
"""ai caramba""";Leve
"""quem cago na minha varanda""";Severa
"""filho da puta""";Severa
"""a corta essa porra""";Severa
"""so assim eu relaxo caralho""";Severa
"""ouvi suas merdas""";Severa
"""putz grilla""";Leve
"""vacilo""";Leve
"""bichinha""";Severa
"""esse moleque""";Leve
"""merda""";Severa
"""agora voces morreram""";Severa
"""agora fudeu""";Severa
"""ah,droga""";Leve
"""pirralhos do caralho""";Severa
"""ah,merda""";Severa
