Frase,Intensidade
elemento decorativo,Nenhuma
gostar casa bonito,Nenhuma
ouvir,Nenhuma
elemento decorativo,Nenhuma
gostar casa bonito,Nenhuma
amigo começar,Nenhuma
avó começar,Nenhuma
estudar começar,Nenhuma
universo começar u,Nenhuma
urgente começar u,Nenhuma
abelha letra começar abelha,Nenhuma
iguano letra começar iguana i,Nenhuma
oliveirar letra começar oliveira,Nenhuma
unicórnio letra começar unicórnio u,Nenhuma
oi amigo hoje ir apresentar letra abecedário letra,Nenhuma
parecer bola basquetevocês achar,Nenhuma
cara menino,Nenhuma
fácil,Nenhuma
ulisse,Nenhuma
lembrer eu,Nenhuma
solar galáxia chamar via láctea,Nenhuma
atmosfera netuno hidrogênio hélio metanor utilizar combustível,Nenhuma
gravidade netuno parecido terra,Nenhuma
atmosfera júpiter camada nuvem formar cor ver,Nenhuma
júpiter vida poder vida lua chamar Europa,Nenhuma
sab mercúrio planeta girar rápido redor sol,Nenhuma
sab movimento rotação venu contrário planeta solar,Nenhuma
sab haver ano pensávar terra plano pizza,Nenhuma
sab fazer   exploração aéreo júpiter,Nenhuma
sab urano movimento rotação vertical,Nenhuma
olá terraquio calor,Nenhuma
voltar terra informar dado coletar,Nenhuma
viagem,Nenhuma
poder aterrissar superfície sólido,Nenhuma
gostar rápido passeio urano,Nenhuma
espinossauro poder alcançar     metro comprimento pesar muito tonelada,Nenhuma
pteranodonte ser dinossauro voador ter asa enorme pele fino,Nenhuma
triceratop dinossauro dócil manso conhecer,Nenhuma
anquilossauro alimentar planta crescir solo,Nenhuma
linênicus ter pequeno extremidade alto aparecer único dedo,Nenhuma
tyrannosaurus rex medo ter   dente correr caminhar rápido,Nenhuma
apresentar pra estegossauro herbívoro perigo comer,Nenhuma
ah susaussauro parecido avestruz gigante,Nenhuma
tyrannosaurus rex medo ter   dente correr caminhar rápido,Nenhuma
oi parasaurolophus dinossauro ter focinho largo pato dente,Nenhuma
dizer saber prir dinossauro,Nenhuma
adorar viajar passado aprender coisa ancestral dinossauro,Nenhuma
vejar vídeo fiz hoje de esse dinossauro interessante,Nenhuma
quanto dente medo,Nenhuma
interessante né,Nenhuma
ouvido órgão responsável audição equilíbrio,Nenhuma
ouvido dividir parte ouvido externo ouvido médio ouvido interno,Nenhuma
olho órgão sentido visão,Nenhuma
língua órgão responsável percepção sabor,Nenhuma
pele órgão responsável tato,Nenhuma
saber olho produzir lágrima perceber,Nenhuma
saber cor olho característica herança genético,Nenhuma
saber animal detectar cheiro humano,Nenhuma
saber olfato participar paladar,Nenhuma
saber pele órgão corpo,Nenhuma
imagine ver semáforo verde,Nenhuma
interessante né,Nenhuma
gostar,Nenhuma
incrível,Nenhuma
ir dica básico,Nenhuma
fração mostrar divisão inteiro parte igual,Nenhuma
somar fração denominador ir deixar denominador somar numerador,Nenhuma
subtrair fração denominador deixar denominador subtraímo numerador,Nenhuma
multiplicar fração multiplicamos numerador si denominador se,Nenhuma
dividir fração ir multiplicar denominador fração numerador ser,Nenhuma
lembrar operação,Nenhuma
lembrar fração,Nenhuma
lembrar operação,Nenhuma
hoje ir aprender multiplicar fração,Nenhuma
saber multiplicar fração,Nenhuma
olá amigo matemática,Nenhuma
planeta universo smile and learn chamar smilington dividir parte igual,Nenhuma
olá amigo,Nenhuma
acertar,Nenhuma
ir,Nenhuma
