FRASE;TOX
Voce vai ver;Leve
nao faz nada;Leve
voce e inutil;Moderado
so serve como peso de papel;Moderado
vou pisar em voce;Severo
voce e muito mao de vaca;Moderado
perdedor;Moderado
porcaria de carro;Moderado
inutil;Moderado
nao sabe fazer nada;Leve
voce nao sabia nada;Leve
vai impestiar a casa;Leve
maldita gata;Moderado
nao faz nada;Leve
perdedor;Leve
filho que vive so;Leve
idiota;Severo
maldita;Moderado
cala a boca;Moderado
aqueles idiotas;Moderado
que se dane;Severo
sua arvore maldita;Moderado
essa e a píor coisa que ele ja fez;Leve
esse caipira;Leve
a festa acabo seu caipira;Leve
cai fora;Moderado
volta aqui seu maldito;Moderado
cala boca;Moderado
abestado;Leve
linguarudo;Leve
voce e esquesito;Moderado
o neguinho;Severo
leva um pe na boca;Moderado
seu doente;Moderado
canalha;Moderado
o doido;Moderado
vai penetrar ele;Severo
sai pra la;Moderado
assasino;Moderado
tu nao tem pai nem mae;Severo
que isso maluco;Moderado
faz isso nao;Leve
vai pro mijo;Moderado
se paparica ele demais;Leve
fico assustado?;Leve
vai pra jesus;Leve
voce nao sabe do que esta falando;Leve
bunda gorda;Moderado
puta magrela;Severo
um idiota com microfone;Moderado
sua vadia;Severo
sua puta;Severo
maldita;Moderado
vadia;Severo
que coisas ridiculas;Leve
que vadia;Severo
babaca;Moderado
voce e uma puta;Severo
vai se foder;Severo
seu corno;Severo
ir se foder;Severo
um pe rapado;Leve
otario;Moderado
quem e essa macaco;Moderado
vou arrancar suas bola;Severo
seu biperd de merda;Severo
macaco bobaõ;Severo
niguem liga;Moderado
cuidem das saus proprias merdas;Severo
bostinha;Severo
eu te dou uma muqueta;Moderado
e maluco;Moderado
babão;Leve
voce ta me agredindo;Moderado
vou te derruba agora;Leve
eu te dou uma muqueta;Moderado
e o cara mais egoista do planeta;Moderado
duvido que alguem pense isso de voce;Moderado
bichinho de pelucia;Moderado
eu odeio essa regra;Moderado
seu velho gordo;Severo
idiota;Severo
ignorante;Leve
era uma prostituta;Severo
seu moribundo;Moderado
idiota;Moderado
vai queima no inferno;Severo
voce ainda vai morrer;Severo
esse medico e um idiota;Moderado
voces esta sendo egoista;Moderado
seu nojento de uma figa;Severo
cala a boca;Moderado
ta calor idiota;Severo
esse conto de fada imbecil;Severo
tena nao ser ignorante;Leve
teimoso;Moderado
imbecil;Severo
voce ta errada;Leve
passaros bobão;Leve
cala a boca;Moderado
vai se ferrar;Severo
babaquice;Moderado
essa sua cara estupida;Severo
nao tomo seus remedios;Moderado
vai se ferrar;Severo
essa bosta de conta de luz;Severo
ainda vou me vinga de voce;Moderado
voce ta fedendo;Leve
ela e uma bosta de pesadelho;Severo
alguem vai pagar por isso;Moderado
ela não e tão chata quanto parece;Moderado
que se dane isso;Moderado
voce que me forço a isso;Moderado
mama udisinho;Severo
seu filho da mãe;Moderado
sem vergonha;Moderado
voce e a mulher da diarreia;Moderado
voce e a maluca;Moderado
eu acho que ela e maluca;Moderado
esses branquelos;Moderado
que se dane;Moderado
seus malditos garotos;Severo
cruza seu lombo;Severo
a cone e tão feia;Moderado
esses otarios;Moderado
os trailers do caipira;Moderado
que mulherzinha;Moderado
uma baranga feito voce;Severo
eu cozinho voce;Moderado
velho piranta;Moderado
cala essa boca;Moderado
bigodudo;Leve
essa sua babaquice;Moderado
vagabundo;Severo
a se eu te pego;Leve
esse olhar de peixe mordo;Leve
imunda;Moderado
idiota;Severo
e idiota;Moderado
otarios;Moderado
seu explorador pastel;Moderado
seus idiotas;Moderado
imundos;Moderado
essa droga;Severo
aquele idiota na estaca;Moderado
desgraçado;Severo
essas pessoas sao monstros;Moderado
sua vadia;Severo
louca;Moderado
seus doentes;Leve
otarios;Moderado
imbecil;Moderado
arrebento tua cabeça;Severo
cala boca;Moderado
muleque safado;Moderado
seu estuprador;Severo
voce e estupido;Moderado
seu pervetido;Moderado
dois crakudinhos;Severo
ze ruela;Moderado
chupa essa manga;Severo
balofa;Severo
minha bolota;Leve
muita boiolagem;Severo
eu espero que o matem;Severo
essa motoclistas loucos;Moderado
vamos acaba com eles;Moderado
cala a boca;Moderado
nao se meta na minha vida;Severo
e ta todo mundo louco;Moderado
venho no lugar errado;Leve
tu ta com a maior catinga;Leve
playboi;Leve
voce e horrivel;Moderado
isso e loucura;Moderado
voce e despresivel;Severo
babaca;Moderado
eu odeio voces;Severo
isso foi horrivel;Leve
para com isso;Leve
voce e sozinha;Leve
Eu nao ligo pro que voce pensa;Leve
seu bosta;Severo
gay bufalo;Severo
pais otarios;Severo
esses pirralhos;Leve
imbecis;Moderado
garoto esquisito;Moderado
nao gostamos de voce;Moderado
nao enche meu saco;Moderado
gordinhos;Leve
queimem pessoas;Severo
os esquisitinhos dos esteve;Moderado
voce e o pior conselheiro;Moderado
esse pirralho;Leve
metido a besta;Leve
louco;Moderado
maluco;Moderado
vadia;Severo
otario;Moderado
idiota;Moderado
fenhoso;Moderado
calar boca;Moderado
estuprar;Severo
fodase;Severo
ferrar;Severo
foder;Severo
imbecil;Moderado
babaca;Severo
putar;Severo
sujo;Leve
cusão;Severo
cuzão;Severo
fudido;Severo
chato;Leve
teimoso;Moderado
vadil;Moderado
vadio;Moderado
babaco;Moderado
miseravel;Moderado
bixa;Severo
fuder;Severo
boboca;Severo
idiotar;Severo
piranha;Severo
maldito;Severo
desordeiro;Moderado
playboy;Moderado
merdinha;Severo
mostro;Moderado
trapaceiro;Moderado
escroto;Moderado
perverso;Moderado
troglodita;Moderado
bichinha;Severo
pederasta;Severo
danado;Severo
viado;Severo
covarde;Moderado
ze ruela;Moderado
vagabur;Moderado
negão;Moderado
putaputaputar;Severo
malandro;Moderado
neadertal;Moderado
bobo;Leve
ganancioso;Moderado
cretino;Moderado
igual;Nenhuma
dividir jeito gostar ir passear tentar espirrar;Nenhuma
visitar animal ir falar;Nenhuma
fazer Arcoíris;Nenhuma
comprar barato brincar dedo;Nenhuma
nadar afinco estrela mar ir dançar;Nenhuma
bloco bloco;Nenhuma
fazer   bloco;Nenhuma
chão quadrados;Nenhuma
incrível;Nenhuma
lua estar;Nenhuma
lever pra casa;Nenhuma
brincar;Nenhuma
mostramos george pintura;Nenhuma
george hoje ir ensinar pintar flor tá;Nenhuma
poder ensinar pintar dinossauro;Nenhuma
pintar círculo;Nenhuma
pinte pétala flor;Nenhuma
pinte folha;Nenhuma
george pintar ajudar;Nenhuma
peppa esconder;Nenhuma
peppa esconder;Nenhuma
George achar peppa escondido;Nenhuma
peppa escondida mesa;Nenhuma
dinossauro brinquedo;Nenhuma
George vir;Nenhuma
george formato;Nenhuma
amarelo misturar azul ficar verde;Nenhuma
abraço azul amarelo nascer verde;Nenhuma
vermelho amarelo vira laranja;Nenhuma
amarelo azul vira verde;Nenhuma
azul vermelho vira roxo;Nenhuma
ah pequeno pigmento encontrar nascer verde;Nenhuma
olhar pertinho entender pequeno pigmento;Nenhuma
ei amarelo azul abraço gente mistura bonito nascer verde ver;Nenhuma
ei amarelo vermelho beijinho canja gente mistura bonito segredo nascer laranja;Nenhuma
ei azul vermelho abraço queijo gente mistura bonito nascer roxo encho beijo;Nenhuma
quintal;Nenhuma
sol verde tá parecer alien;Nenhuma
hora tinta amarela pegar tinta verde;Nenhuma
ideia;Nenhuma
ninguém chamar vir;Nenhuma
mariana lápis ganhar quanto lápis ter;Nenhuma
jardim haver borboleta chegar borboleta pequeno quanto borboleta;Nenhuma
sítio vovô haver pintinho nascer quanto pintinho sítio;Nenhuma
cachorrinho ter osso ganhar quanto osso;Nenhuma
lua comprar bala voltar comprar quanta bala lua;Nenhuma
matheu ganhar livro presente vovó mamãe quanto livro matheu ganhar;Nenhuma
semana passado ganhar estrelinha mural rotina semana ganhar quanto estrela;Nenhuma
pote biscoito ter biscoito coloquei quanto biscoito pote;Nenhuma
vídeo hoje aprender conta adição;Nenhuma
vídeo hoje ir precisar ajuda resolver probleminha matemática;Nenhuma
borboleta;Nenhuma
pintinhos sítio;Nenhuma
cachorrinho osso;Nenhuma
lua bala;Nenhuma
nuvem frente sol;Nenhuma
haver avião aeroporto de ele decolar quanto avião ficar;Nenhuma
guto ter bala comeu de ele quanto bala sobrar;Nenhuma
ana ganhar balão de ele estourar quanto balão ficar;Nenhuma
ana amiga parque de elas quanto amiga ficar ana;Nenhuma
Pedro ter lápis estojo perder de ele quanto lápis restar;Nenhuma
macieira ter maçãs cair de ele quanta maçãs ficar árvore;Nenhuma
júlia ter real gastar real mercado quanto real sobrarar;Nenhuma
coelho ter cenoura comeu de elas quanto cenouro sobrarar;Nenhuma
vídeo hoje ir resolver probleminha subtração continha;Nenhuma
sobrarar cenoura;Nenhuma
Pedro ficar lápis;Nenhuma
maçãs ficar árvore;Nenhuma
sobrarar real júlia;Nenhuma
olá amiguinho;Nenhuma
entender funcionar;Nenhuma
multiplicar ficar;Nenhuma
multiplicar ficar;Nenhuma
tabuar;Nenhuma
tabuar;Nenhuma
tabuar;Nenhuma
tabuar;Nenhuma
hoje aprender tabuada;Nenhuma
ir último;Nenhuma
truquezinho shorts;Nenhuma
amiguinho;Nenhuma
contar gostar videozinho hoje;Nenhuma
avião árvore astronauta letra;Nenhuma
l leão luva livro;Nenhuma
m macaco menino milho;Nenhuma
n navio ninho never;Nenhuma
ovo ovelha ônibus;Nenhuma
ir aprender letrinha alfabeto palavra começar de ele;Nenhuma
letrinha letra;Nenhuma
letrinha letra b letra b;Nenhuma
letrinha letra c c gente;Nenhuma
vídeo hoje aprender   letra alfabeto várias coisa começar letrinha;Nenhuma
pato pedra pipocar;Nenhuma
vaca vela violão;Nenhuma
Waffle Wifi wafer;Nenhuma
youtube yakisoba yoga letra y;Nenhuma
zebrar zumbi letra z;Nenhuma
casa s;Nenhuma
luz z;Nenhuma
Rosa s;Nenhuma
juiz z;Nenhuma
pena letra n;Nenhuma
palavra s z;Nenhuma
palavrinha x ch;Nenhuma
palavra m n;Nenhuma
vídeo hoje aprender várias palavrinha escrever de ele;Nenhuma
palavrinha chave;Nenhuma
chocolate delícer;Nenhuma
palavrinha xícar;Nenhuma
palavrinha chuva;Nenhuma
ir bloco;Nenhuma
amiguinho;Nenhuma
pentágono nome dar figura geométrico possuir   lado;Nenhuma
humus matéria orgânica depositar solo resultar decomposição animal planta morto subproduto;Nenhuma
combustível fóssil petróleo carvão mineral gás natural chamar fato derivar planta vegetal morto soterrar sólido formar rocha sedimentar;Nenhuma
energia eólico energia renovável gerar força vento;Nenhuma
clorofila pigmento responsável cor encontrar interior cloroplasto abundante planta presente principalmente folha;Nenhuma
quiz conhecimento geral   pergunta ensino fundamental;Nenhuma
vídeo promover conhecimento deixar like inscrevase canal;Nenhuma
souber resposta compartilho comentário;Nenhuma
quiz conhecimento geral pergunta ensino fundamental;Nenhuma
vídeo promover conhecimento deixar like inscrevase canal;Nenhuma
terra água;Nenhuma
gelo;Nenhuma
água;Nenhuma
terra;Nenhuma
mágico oz;Nenhuma
mágico oz;Nenhuma
