FRASE,Intensidade
velho gordo,3
idiota,3
ignorante,1
prostituta,3
moribur,2
idiota,2
queima inferno,3
voce morrer,3
medico idiota,2
voce ser egoista,2
nojento figa,3
calar boca,2
ta calor idiota,3
conto fada imbecil,3
tena nao ignorante,1
teimoso,2
imbecil,3
Voce ta errar,1
passaro bobão,1
calar boca,2
ferrar,3
babaquice,2
cara estupido,3
nao tomo remedio,2
ferrar,3
bosta conta luz,3
ir vinga voce,2
voce ta feder,1
bosta pesadelho,3
alguir pagar,2
chato,2
danar,2
voce forço,2
mama udisinho,3
filho mãe,2
vergonha,2
voce mulher diarreia,2
voce maluco,2
achar maluco,2
branquelo,2
daner,2
maldito garoto,3
cruzar lombo,3
cone feio,2
otario,2
trailer caipira,2
mulherzinhar,2
baranga fazer voce,3
cozinhar voce,2
velho pirantar,2
calar boca,2
bigodudo,1
babaquice,2
vagabur,3
pegar,1
olhar peixe mordo,1
imundo,2
idiota,3
idiota,2
otario,2
explorador pastel,2
idiota,2
imunr,2
droga,3
idiota estaca,2
desgraçar,3
pessoa sao monstro,2
vadia,3
louco,2
doente,1
otario,2
imbecil,2
arrebento cabeça,3
calar boca,2
muleque safar,2
estuprador,3
voce estuper,2
pervetido,2
crakudinho,3
ze ruela,2
chupar manga,3
balofa,3
bolota,1
muito boiolagem,3
esperar matar,3
motoclista louco,2
ir acabar,2
calar boca,2
nao meta vida,3
ta mundo louco,2
venho errar,1
ta catinga,1
playboi,1
voce horrivel,2
loucurar,2
voce despresivel,3
babaco,2
odeiar voce,3
horrivel,1
,1
voce sozinha,1
nao ligo pro voce pensar,1
bosta,3
gay bufalo,3
pai otario,3
pirralho,1
imbecis,2
garoto esquisito,2
nao gostamo voce,2
nao enchar saco,2
gordinho,1
queimem pessoa,3
esquisitinho,2
voce mau conselheiror,2
pirralho,1
meter besta,1
louco,2
maluco,2
vader,3
otario,2
idiota,2
fenhoso,2
calar boca,2
estuprar,3
fodase,3
ferrar,3
foder,3
imbecil,2
babaco,3
putar,3
sujo,1
cusão,3
cuzãor,3
fudir,3
Chato,1
teimoso,2
vadil,2
vadio,2
babaco,2
miseravel,2
bixa,3
fuder,3
bobocar,3
idiotar,3
piranhar,3
maldito,3
desordeiro,2
playboyr,2
merdinho,3
mostro,2
trapaceiro,2
escroto,2
perverso,2
trogloditar,2
bichinho,3
pederasta,3
danar,3
viar,3
covarde,2
ze ruela,2
vagabur,2
negão,2
putaputaputar,3
malandro,2
neadertal,2
bobo,1
ganancioso,2
cretino,2
gual,0
igual,0
dividir jeito gostar ir passear tentar espirrar,0
visitar animal ir falar,0
fazer Arcoíris,0
comprar barato brincar dedo,0
nadar afinco estrela mar ir dançar,0
bloco bloco,0
fazer   bloco,0
chão quadrados,0
incrível,0
lua estar,0
lever pra casa,0
brincar,0
mostramos george pintura,0
george hoje ir ensinar pintar flor tá,0
poder ensinar pintar dinossauro,0
pintar círculo,0
pinte pétala flor,0
pinte folha,0
george pintar ajudar,0
peppa esconder,0
peppa esconder,0
George achar peppa escondido,0
peppa escondida mesa,0
dinossauro brinquedo,0
George vir,0
george formato,0
amarelo misturar azul ficar verde,0
abraço azul amarelo nascer verde,0
vermelho amarelo vira laranja,0
amarelo azul vira verde,0
azul vermelho vira roxo,0
ah pequeno pigmento encontrar nascer verde,0
olhar pertinho entender pequeno pigmento,0
ei amarelo azul abraço gente mistura bonito nascer verde ver,0
ei amarelo vermelho beijinho canja gente mistura bonito segredo nascer laranja,0
ei azul vermelho abraço queijo gente mistura bonito nascer roxo encho beijo,0
quintal,0
sol verde tá parecer alien,0
hora tinta amarela pegar tinta verde,0
ideia,0
ninguém chamar vir,0
mariana lápis ganhar quanto lápis ter,0
jardim haver borboleta chegar borboleta pequeno quanto borboleta,0
sítio vovô haver pintinho nascer quanto pintinho sítio,0
cachorrinho ter osso ganhar quanto osso,0
lua comprar bala voltar comprar quanta bala lua,0
matheu ganhar livro presente vovó mamãe quanto livro matheu ganhar,0
semana passado ganhar estrelinha mural rotina semana ganhar quanto estrela,0
pote biscoito ter biscoito coloquei quanto biscoito pote,0
vídeo hoje aprender conta adição,0
vídeo hoje ir precisar ajuda resolver probleminha matemática,0
borboleta,0
pintinhos sítio,0
cachorrinho osso,0
lua bala,0
nuvem frente sol,0
haver avião aeroporto de ele decolar quanto avião ficar,0
guto ter bala comeu de ele quanto bala sobrar,0
ana ganhar balão de ele estourar quanto balão ficar,0
ana amiga parque de elas quanto amiga ficar ana,0
Pedro ter lápis estojo perder de ele quanto lápis restar,0
macieira ter maçãs cair de ele quanta maçãs ficar árvore,0
júlia ter real gastar real mercado quanto real sobrarar,0
coelho ter cenoura comeu de elas quanto cenouro sobrarar,0
vídeo hoje ir resolver probleminha subtração continha,0
sobrarar cenoura,0
Pedro ficar lápis,0
maçãs ficar árvore,0
sobrarar real júlia,0
olá amiguinho,0
entender funcionar,0
multiplicar ficar,0
multiplicar ficar,0
tabuar,0
tabuar,0
tabuar,0
tabuar,0
hoje aprender tabuada,0
ir último,0
truquezinho shorts,0
amiguinho,0
contar gostar videozinho hoje,0
avião árvore astronauta letra,0
l leão luva livro,0
m macaco menino milho,0
n navio ninho never,0
ovo ovelha ônibus,0
ir aprender letrinha alfabeto palavra começar de ele,0
letrinha letra,0
letrinha letra b letra b,0
letrinha letra c c gente,0
vídeo hoje aprender   letra alfabeto várias coisa começar letrinha,0
pato pedra pipocar,0
vaca vela violão,0
Waffle Wifi wafer,0
youtube yakisoba yoga letra y,0
zebrar zumbi letra z,0
casa s,0
luz z,0
Rosa s,0
juiz z,0
pena letra n,0
palavra s z,0
palavrinha x ch,0
palavra m n,0
vídeo hoje aprender várias palavrinha escrever de ele,0
palavrinha chave,0
chocolate delícer,0
palavrinha xícar,0
palavrinha chuva,0
ir bloco,0
amiguinho,0
pentágono nome dar figura geométrico possuir   lado,0
humus matéria orgânica depositar solo resultar decomposição animal planta morto subproduto,0
combustível fóssil petróleo carvão mineral gás natural chamar fato derivar planta vegetal morto soterrar sólido formar rocha sedimentar,0
energia eólico energia renovável gerar força vento,0
clorofila pigmento responsável cor encontrar interior cloroplasto abundante planta presente principalmente folha,0
quiz conhecimento geral   pergunta ensino fundamental,0
vídeo promover conhecimento deixar like inscrevase canal,0
souber resposta compartilho comentário,0
quiz conhecimento geral pergunta ensino fundamental,0
vídeo promover conhecimento deixar like inscrevase canal,0
terra água,0
gelo,0
água,0
terra,0
mágico oz,0
